POS: {v: 149.761, s: -17.1259, e: 88.4507, r: -6.98658, p: 18.4191}
VEL: {v: -11.7949, s: 0.4933, e: -0.648817, r: -0.0236004, p: -0.00933138}
POS: {v: 149.123, s: -17.098, e: 88.4147, r: -6.98658, p: 18.4185}
VEL: {v: -10.8711, s: 0.376875, e: -0.541637, r: -0.0242962, p: -0.0742565}
POS: {v: 148.434, s: -17.0702, e: 88.3744, r: -6.98529, p: 18.4099}
VEL: {v: -9.01349, s: 0.391997, e: -0.545598, r: 0.0357943, p: -0.155964}
POS: {v: 148.059, s: -17.0544, e: 88.355, r: -6.98319, p: 18.4071}
VEL: {v: -9.88001, s: 0.418989, e: -0.572862, r: 0.105369, p: -0.109423}
POS: {v: 147.584, s: -17.0344, e: 88.3287, r: -6.97704, p: 18.4047}
VEL: {v: -10.4941, s: 0.445963, e: -0.59115, r: 0.114835, p: -0.019011}
POS: {v: 147.168, s: -17.0177, e: 88.3064, r: -6.97315, p: 18.4033}
VEL: {v: -10.0957, s: 0.387146, e: -0.534242, r: 0.0566301, p: 0.0240713}
POS: {v: 146.402, s: -16.9912, e: 88.2697, r: -6.97074, p: 18.4124}
VEL: {v: -11.2566, s: 0.367088, e: -0.505623, r: 0.0409392, p: 0.0476551}
POS: {v: 145.996, s: -16.9772, e: 88.2511, r: -6.96982, p: 18.417}
VEL: {v: -9.70057, s: 0.362417, e: -0.499964, r: 0.0298255, p: 0.099117}
POS: {v: 144.93, s: -16.9372, e: 88.1975, r: -6.96534, p: 18.425}
VEL: {v: -12.2176, s: 0.274643, e: -0.502601, r: 0.116574, p: 0.156939}
POS: {v: 144.93, s: -16.9372, e: 88.1975, r: -6.96534, p: 18.425}
VEL: {v: -12.2176, s: 0.274643, e: -0.502601, r: 0.116574, p: 0.156939}
