MTN: Move Mode -GRAVITY_ZONE
VEL: {v: -12.8864, s: -0.146695, e: -0.150943, r: 0.0605666, p: 0.227621}
POS: {v: 220.856, s: 2.74737, e: 68.0053, r: -11.5257, p: -5.3019}
VEL: {v: -13.834, s: 0.00514273, e: -0.359592, r: 0.0530232, p: 0.927614}
POS: {v: 219.532, s: 2.74929, e: 67.9798, r: -11.5199, p: -5.23284}
VEL: {v: -14.1846, s: -0.0478778, e: -0.229358, r: 0.0409209, p: 0.512182}
POS: {v: 219.532, s: 2.74929, e: 67.9798, r: -11.5199, p: -5.23284}
VEL: {v: -14.1846, s: -0.0478778, e: -0.229358, r: 0.0409209, p: 0.512182}
POS: {v: 218.87, s: 2.74572, e: 67.97, r: -11.5184, p: -5.21174}
VEL: {v: -14.0074, s: -0.0982131, e: -0.181778, r: 0.0348606, p: 0.341338}
POS: {v: 218.111, s: 2.74008, e: 67.9607, r: -11.5178, p: -5.19716}
VEL: {v: -12.6751, s: -0.109545, e: -0.146719, r: -0.000292946, p: 0.232611}
POS: {v: 217.541, s: 2.73509, e: 67.9543, r: -11.5177, p: -5.18841}
VEL: {v: -11.8296, s: -0.11394, e: -0.125892, r: 0, p: 0.159678}
POS: {v: 216.836, s: 2.72823, e: 67.9488, r: -11.5178, p: -5.18087}
VEL: {v: -10.3459, s: -0.208896, e: 0.646679, r: -3.66182e-05, p: -0.0237695}
POS: {v: 216.249, s: 2.69196, e: 67.9916, r: -11.5182, p: -5.18101}
VEL: {v: -11.4455, s: -0.811908, e: 0.613631, r: 0.000897147, p: 0.0120472}
POS: {v: 215.132, s: 2.63798, e: 68.0286, r: -11.5203, p: -5.18013}
VEL: {v: -11.5022, s: -0.361375, e: 0.217667, r: -0.0713689, p: 0.052019}
POS: {v: 215.132, s: 2.63798, e: 68.0286, r: -11.5203, p: -5.18013}
VEL: {v: -11.5022, s: -0.361375, e: 0.217667, r: -0.0713689, p: 0.052019}
POS: {v: 214.628, s: 2.62327, e: 68.0355, r: -11.5222, p: -5.17662}
VEL: {v: -11.9882, s: -0.199123, e: -0.201481, r: -0.0265482, p: 0.384026}
POS: {v: 214.039, s: 2.61698, e: 68.0276, r: -11.5227, p: -5.15951}
VEL: {v: -13.2476, s: -0.122952, e: -0.150919, r: -0.0249736, p: 0.244612}
POS: {v: 212.742, s: 2.60508, e: 68.0149, r: -11.5211, p: -5.13888}
VEL: {v: -12.1037, s: -0.121584, e: -0.109113, r: 0.0323339, p: 0.128875}
POS: {v: 212.742, s: 2.60508, e: 68.0149, r: -11.5211, p: -5.13888}
VEL: {v: -12.1037, s: -0.121584, e: -0.109113, r: 0.0323339, p: 0.128875}
